POI Id,Name,Favourite dish of your college,Largest value food order at your college,unofficial campus favorite restaurant,The official 12 AM craving / dish,Max number of orders in a week for a student in your college,Highest number of pizzas ordered on a single day,Highest number of biryanis ordered on a single day
2ead5088-3319-465d-b67b-46761926e701,Guru Gobind Singh Indraprastha University,burger,12935,Domino's Pizza,burger,14,39,8
6ba5fddf-9d76-4a33-aab2-f1604528398f,IRMA Anand,biryani,3444,McDonald's,burger,14,16,18
facf91dd-221d-4c4d-aa4f-735166294322,National Institute of Design Ahmedabad,burger,9869,McDonald's,burger,18,15,13
78df772e-aaa0-498c-a173-92f27404f198,Jawaharlal Nehru Technological University(JNTUK University),biryani,9721,Food Park Family Restaurant,biryani,10,8,138
e7f51d4f-18f9-47f0-9c26-5cbe9ffb8356,Utkal University,biryani,6718,Biriyani Box,biryani,14,13,44
faa7d370-ff57-4362-896a-6dc88237701e,Mahatma Gandhi Medical College and Research Institute(Sri Balaji Vidyapeeth (SBVU)),biryani,7794,KFC,pizza,13,15,15
3f85867d-aae6-479f-a4cc-c69877123dff,BLDE University,biryani,4298,Qaswa Hills Restaurant,pizza,14,9,21
57c94210-fc67-4a09-9742-3acaff11a9b4,National Institute of Pharmaceutical Education and Research Mohali (NIPER),pizza,5689,Bikkgane Biryani,pizza,14,27,13
c0e3kfgmlbnfmjbvgq4g,Tamil Nadu Government Multi Super Speciality Hospital TNGMSSH,biryani,11108,A2B - Adyar Ananda Bhavan,tea,21,6,13
9d5f3d60-7d79-442f-843f-b47155f33486,International Management Institute,burger,5936,McDonald's,burger,22,11,14
c0v86t3mud18qpl380hg,Vellore Institute of Technology (VIT) I,burger,7633,McDonald's,burger,9,17,32
ca23ede3-052e-4f56-9be9-b888425a4657,Government Engineering College Thrissur,burger,8442,Food Box,burger,17,6,94
a3ae80ea-a320-4fff-bdd8-44f03bc9ea35,Subbaiah Institute of Medical Sciences,biryani,6320,KFC,nuggets,11,16,54
7540ab85-663e-4748-baf2-509bed1cf4c4,Institute of Engineering and Technology (IET),pizza,3531,La Pino'z Pizza,pizza,12,45,29
99474188-3069-4dfc-adb5-1add3eabedbf,Government Medical College Hospital Kottayam,burger,6460,Malabar Kitchen,burger,11,6,14
c0e3j7o9tt4h2ptrvecg,ESIC Medical College And PGIMSR,biryani,7190,Burger King,burger,20,14,20
b0d64574-4fa3-4409-9153-74ebf634f3e9,NIT Srinagar,pizza,5045,YUMBURGS,pizza,13,69,37
859fa4a0-dcc9-49a9-a3de-c618c755f0a3,National Institute of Technology Karnataka (NITK) Surathkal,biryani,6472,Domino's Pizza,pizza,12,23,20
e391b54e-c8da-4444-acf4-8a64898eba79,Azim Premji University,burger,9660,Domino's Pizza,burger,12,21,12
c0df4kgmlbnfmjbvge3g,Symbiosis Law School,burger,4040,McDonald's,burger,15,13,11
8077a261-b0fd-457c-9b91-3c4fb4eec1ac,Pondicherry Institute Of Medical Sciences,burger,6832,Banyan Tea House,burger,17,7,14
270b4b9d-3f45-4ef7-89ac-ef84fa1e2726,Gandhi Medical College & Hospital,pizza,3914,Bapu Ki Kutia,burger,18,19,13
8c9f1ba8-8dbc-461d-ad97-33450fb340a5,National Academy of Indian Railways,pizza,3607,Pizza Hut,pizza,14,46,24
1ea2b48b-76dd-4322-b8b6-2c93481efe61,AIIMS Bathinda,burger,5904,Shree Shayam Vaishno Dhaba,pizza,26,15,4
7f6bb6c4-db8c-44b9-b5e4-6f847f50310e,IIM Ranchi,burger,7807,Domino's Pizza,burger,11,21,15
5d977ae8-3b1a-4b3e-9fad-ac5cdd7b1fad,Coimbatore Medical College & Hospital,biryani,9262,Hotel Sri Madurai Meenakshi,parotta,13,5,16
19769604-30e7-45e7-997a-f056830d6675,Govt Medical College The Nilgiris,biryani,4295,KFC,,13,7,13
58305a55-9fc3-4a76-9e7b-dc092af1cfef,Odisha University of Technology and Research,biryani,4576,Baba-Ben-Chow,biryani,11,29,121
c0desug9tt4h2ptrus8g,Institute of Post Graduate Medical Education & Research,biryani,13597,Domino's Pizza,curry,15,8,17
ec8794d8-9441-4d33-8b9f-db185400f07c,University College Of Medical Sciences & GTB Hospital (UCMS),burger,7397,Burger King,burger,15,21,11
1d7765ce-2dd1-4b97-9b4f-02ee35889917,GCS Medical College And Hospital,burger,9680,McDonald's,pizza,14,22,8
2983b565-67a6-4088-a732-01b4140a62a3,Christian Medical College & Hospital,burger,4254,KFC,burger,17,13,9
0a51b6dc-445d-4442-9d9d-e4e82aebd3f7,IIIT Guwahati,biryani,3261,Cafe Go Green,pizza,12,16,26
e0076912-08d6-4940-83ec-a363a65f8f94,KJ Somaiya Medical College & Research Centre,burger,10082,McDonald's,burger,11,12,7
b8d3c777-9958-482f-8f82-841d7ac8c17a,Guru Jambheshwar University of Science and Technology,pizza,3127,Pizza House,pizza,13,57,4
f5b832d2-b71f-4e66-ae8d-469906c55a80,Andhra Medical College,biryani,3654,New Satyam Multicuisine Restaurant & Takeaway,burger,16,8,24
a9ea9286-4d1e-4ef3-86d6-f4e75b02a076,Government Medical College Patiala,pizza,3107,Burger King,burger,13,26,8
1cb45981-777f-4b87-91a6-54d8df7eb84c,Kanyakumari Medical College & Hospital Asaripallam,biryani,4743,Hotel Udupi International,pizza,18,8,16
92303dee-59cf-46f8-aa28-dcb9b69fa89e,Government Hospital and Medical College Latur,biryani,4155,Hotel City Centre,pizza,19,10,10
182a3513-def4-40b7-b5f2-dac87ce318ce,AIIMS Nagpur,biryani,5089,Haldiram's Restaurant,pizza,12,8,13
bf693385-7565-464e-bdf2-58873b898c11,National Institute Of Technology Silchar,biryani,5461,KFC,sundae,17,22,30
9bb83cce-d779-4730-9805-74ee975649bc,Madurai Medical College,biryani,5924,KFC,burger,27,6,15
7a8ebffe-7530-4a41-a378-999350bdc58b,Government Medical College and Hospital - Thiruvannamalai,biryani,2894,A2B - Adyar Ananda Bhavan,pizza,22,9,16
10388407-997c-4d62-ab85-4b848c1c4eb9,Loyola College,biryani,6502,KFC,curry,17,6,21
cefcde7c-3229-4db1-9d94-6f18133725c2,Kakatiya Medical College,biryani,4849,Cakewala,biryani,12,6,65
b0d7b659-f31b-4735-bd6f-8f4bc5fbaee0,Chandigarh University,pizza,4057,La Pino'z Pizza,pizza,10,147,11
b248e35e-08be-42ec-b12e-05eeb1efe754,Dr. Vasantrao Pawar Medical College/Hospital & Research Center,burger,4923,McDonald's,pizza,16,16,17
acc4ad67-0f42-44f0-84b4-cb0805001c50,Karnavati University,burger,4421,McDonald's,burger,10,15,6
btd121d8o0r16ibrrqfg,Kidwai Memorial Institute of Oncology,biryani,6733,A2B - Adyar Ananda Bhavan,pizza,19,8,14
9e158346-652f-4ea3-aeb4-d3d82b40c819,Medical College Palakkad,biryani,3156,Nalanda Grill,burger,20,4,13
12df7ff6-90e2-492a-af0e-14e48b0afb45,Sapthagiri Institute of Medical Sciences and Research Centre,biryani,9808,McDonald's,burger,16,7,19
67fcc5cb-71b5-439b-ae70-0a009cb8ea5a,National University of Advanced Legal Studies,burger,3571,McDonald's,shake,12,10,9
b6058021-6cc8-43b9-bfd7-68de70bec922,Agartala Government Medical College & Govind Ballabh Pant Hospital,thali,8925,Steamin Mugs Cafe & Restaurant,pizza,15,11,11
ca6e0346-5095-4ced-aa0f-37e138fe98a8,Babu Banarasi Das University,pizza,4693,Burger King,burger,14,16,14
5ae4753e-f294-4d85-856e-f72316e9e03b,Symbiosis International University Nagpur(SIBM Nagpur),roll,5700,Domino's Pizza,pizza,9,12,11
7b190cc9-32b8-4957-a5c2-cefcc82abbe5,Jamia Millia Islamia University II,biryani,6761,Zahra Restaurant & Cafe,pizza,13,69,141
ae0e412c-9166-4390-8cba-6b3976926c57,GIMSR Medical College & Hospital,biryani,4485,Burger King,burger,13,9,21
3c331f51-9d50-4505-9221-40d46c00a1e6,IQ City Medical College & Hospital,biryani,6682,Domino's Pizza,pizza,13,12,22
c0e3gbo9tt4h2ptrvbq0,BJ MC Hospital,biryani,6362,McDonald's,burger,16,12,14
37dcd279-ac77-4b2e-a7a7-66373ca4a16d,CEPT University,burger,17489,McDonald's,burger,8,16,11
4535f60b-7e74-47bc-9209-1554dc4af835,Dharmsinh Desai University,pizza,7930,La Pino'z Pizza,pizza,10,30,5
c9ad6477-a643-4b8f-bb08-ecd2a3d6c96e,Regional Institute Of Education (RIE Bhubneshwar),biryani,2738,Biriyani Box,pizza,11,9,109
99f49793-bed4-4ba0-9159-112452a370ef,Government Medical College & Hospital Tiruppur,biryani,6200,A2B - Adyar Ananda Bhavan,burger,15,8,14
94f9581a-c98b-4db9-9c8a-d801b666eba2,IIM Rohtak,roll,17756,Burger King,burger,8,22,24
bui9qaastu3qr1u8fo6g,MGM Institute of Health Sciences,burger,10106,McDonald's,burger,12,12,7
b776abd6-e304-45cc-8907-733ab7107004,PSG Institute of Technology and Applied Research,biryani,6377,"Dindigul Thalappakatti - Since 1957
",sandwich,8,5,23
15324706-0c5b-49df-b43a-7a584327fcbc,Thanjavur Medical College & Hospital,biryani,6290,C3 Cafe,pizza,9,8,21
c30b5837-cd89-45b3-94da-a57f639fd49f,Anant National University,pizza,5333,McDonald's,pizza,10,16,8
c0cpsggmlbnfmjbvfo0g,Indian Institute of Technology Delhi,biryani,15444,Domino's Pizza,burger,10,18,12
3c540226-4c3d-4f4c-b78f-477cb491d5f3,Chaudhary Charan Singh Haryana Agricultural University,pizza,3705,Old Harlal Shudh Vaishno Dhaba,pizza,10,25,4
c0cddea9-7eb6-4b9e-993c-0d65dffda4e4,SJB Institute of Technology(SJBIT),biryani,5523,Royal Indraprastha,pizza,11,9,19
7e9d3d5d-b6a9-4d85-8111-e4dbc037c026,Babasaheb Bhim Rao Ambedkar University,pizza,5954,La Pino'z Pizza,pizza,16,20,15
c0e45809tt4h2ptrvuhg,SIMS College,burger,4373,Burger King,burger,11,8,8
3cf24d8b-4b63-4298-9aa5-d21d1efb5da8,Gayatri Vidya Parishad College of Engineering,biryani,2930,Eaters Stop,biryani,11,10,140
4b999769-155f-4693-a8a4-c5529e7bdfb4,Belgaum Institute Of Medical Sciences & Civil District Hospital(BIMS),biryani,5450,McDonald's,pizza,13,12,48
38d22744-f746-460a-8e3f-64c8481ae3fa,Sri Lakshmi Narayana Institute of Medical Science Medical College & Hospital,biryani,9479,KFC,burger,17,12,18
c0e3ij0mlbnfmjbvgod0,Dr BR Ambedkar Medical College,biryani,7814,McDonald's,burger,21,9,12
ae33ed13-94c5-4f7c-bdf4-f6dd098e0e41,Harcourt Butler Technical University (HBTU),pizza,2023,Rominus Pizza And Burger,pizza,13,17,11
c0v8a1bnrs5psrn7j1r0,BMS College of Engineering,biryani,14768,California Burrito,burger,15,10,18
5c6831d3-0e71-4c9d-bdcf-c9fc1d750599,The Maharaja Sayajirao University(MSU) - 3,pizza,3743,Burger King,pizza,15,25,9
e9a6bd04-df21-4177-a687-9e24e387ccb1,Indian Institute of Foreign Trade,burger,9816,McDonald's,burger,13,6,22
c0e3qggmlbnfmjbvgvfg,Mukesh Patel School Of Technology Management & Engineering,burger,4143,McDonald's,burger,14,11,13
9e303437-a2a9-4b9f-894f-8c3152224d11,National Institute Of Design Assam,biryani,6148,Domino's Pizza,pizza,12,16,15
55120203-a8aa-4dce-84cf-81629294ba7b,Ravenshaw University Cuttack,biryani,2200,Rasoi,burger,13,12,54
e5ddce9c-f1ca-4840-833e-78f65bc1a00d,Bharti Vidyapeeth,biryani,7937,Rahamatullah Restaurant,pizza,9,12,30
bui7bo6pej7fsal2q690,Armed Forces Medical College,burger,7942,Burger King,burger,13,14,8
c0cpfvomlbnfmjbvfbtg,Bangalore Baptist Hospital,biryani,10806,Hotel Empire,burger,18,8,19
c0e41r8mlbnfmjbvh61g,Sinhgad Institutions,burger,3471,Burger King,burger,11,21,21
cb3cfcd0-ac6e-4013-a779-0a40809bc2d9,Government Thoothukudi Medical College Hospital,dosa,5737,Sangamithra Multi Cuisine,omelette,14,5,10
c0e3iigmlbnfmjbvgocg,D Y Patil Vidyapeeth University,burger,3089,Burger King,burger,9,10,7
65aa1597-6bdd-4a42-9b52-3671525eac4b,University of Mysore,biryani,3726,Sri Chamundeshwari Donne Biriyani Center,biryani,21,8,24
24478f1b-6d7b-4a4a-a83e-5e65e732da3b,Motilal Nehru Medical College,pizza,4578,Rominus Pizza And Burger,pizza,15,35,23
42c88cb8-5a6d-40b7-a341-8771d6f561b4,Tamil Nadu Agricultural University I,biryani,4465,Shree Anandhaas,biryani,14,6,35
befd1a1f-7ce2-4877-8563-d80dc467fe4a,Government Medical College & Hospital,biryani,2709,Sri Krishna Grand,pizza,14,7,26
42b8f321-ce37-4914-9d21-df93c490234c,Nalanda Medical College Hospital (NMCH),biryani,6312,Bikkgane Biryani,biryani,12,15,19
c0cpnq89tt4h2ptru90g,Calcutta Medical College & Hospital,biryani,9017,Domino's Pizza,curry,13,8,14
7fba60b0-7f4d-42d5-a770-4e1ee836120a,Mannuthy Veterinary College & Hospital,burger,2499,Arabian Grill - East Fort,burger,9,4,13
5099e2c2-3e33-4cf9-a9f8-4f954e5b40b2,Andaman and Nicobar Islands Institute of Medical Sciences(ANIIMS),biryani,5312,Reef Atlantis,,15,11,16
c0cpeto9tt4h2ptru0e0,ESI Medical College & Hospital,biryani,12920,A2B - Adyar Ananda Bhavan,juice,13,4,14
02216057-0ded-44f7-8028-450cf9f947e8,Symbiosis International University Bengaluru,burger,6757,McDonald's,burger,12,11,7
0ec5bd36-52c5-4d3f-9e61-acf409239ae6,National Institute of Technology Calicut(NIT) Part 1,burger,5148,KFC,burger,12,12,11
1b7920e3-c235-4366-a92f-fd65f680e999,Government Medical College & Hospital,pizza,12850,La Pino'z Pizza,pizza,13,14,11
70d83d59-771c-4543-836a-722ffc8d3374,IIT Goa,biryani,5087,The Tiffin Factory,naan,21,13,18
892d769f-ec14-4604-88ed-7f6ece320399,College Of Engineering Thiruvananthapuram,biryani,3933,Le Arabia,shawarma,13,8,28
151e7916-15a9-4458-8cf5-a3dff82dbcac,Krishna Institute of Medical Sciences,burger,8564,McDonald's,pizza,19,15,15
623a16c7-9857-4090-af9a-212314fa456f,BRD Medical College,pizza,6240,Rominus Pizza And Burger,pizza,11,47,17
eef994ba-6aa2-4466-aa52-06c96f6bda00,Sri Ramakrishna Institute of Paramedical Sciences,biryani,7415,Sree Annapoorna,biryani,20,7,15
6f6f90f0-08fd-4b20-8e30-519a726f2b03,Xavier Institute of Management (XIMB),biryani,7082,Burger King,burger,12,13,19
9ed38ebe-9df2-48aa-a964-25dbe5cd4ea6,Hindusthan College of Arts & Science,biryani,9833,Ss Hyderabad Biryani,parotta,23,6,35
c4e631a8-1466-473e-8cd3-fd61739f5951,MMM University of Technology,pizza,2997,Burger King,pizza,9,146,65
f3f126a8-e9ae-4354-b4ad-81036fe1b89a,Government Medical College Haldwani,pizza,2299,La Pino'z Pizza,pizza,14,16,6
c9afecd2-7259-4ce3-b694-0df5d1c7f098,National Institute of Technology Patna,biryani,6655,Bikkgane Biryani,pizza,9,14,21
c0v86h3mud18qpl380e0,National University Of Juridical Sciences,burger,6954,Burger King,burger,14,12,5
5b7d2918-886d-4ff1-a287-6367993bae7f,Tirunelveli Medical College & Hospital,biryani,5761,Juice Time Restaurant,pizza,18,6,14
c0e1881c-8a1d-48ef-be87-c27ae4f5a618,DR MGR University,burger,24955,A2B - Adyar Ananda Bhavan,burger,14,10,9
96017b1a-4ab9-449d-a28d-37198a90550d,Sri Padmavathi Mahila Visvavidyalayam,biryani,3342,The Paradise,biryani,6,6,170
0b7391a3-8e17-43f9-981b-6fcbfdfdf095,Sri Venkateshwara Medical College,biryani,6771,Di Table 9 New,biryani,14,6,71
3ee5f203-9147-476d-838b-2de0c19018e1,Sai Tirupati University,biryani,4796,KFC,curry,12,12,16
66db08cc-b5db-4c5b-b794-b0d1c5c72064,Government Medical College Ongole,biryani,2899,Alif Hyderabad Kachi Dum Biryani,pizza,11,5,55
cfb762c4-6ab9-419b-b40b-511173609bbf,Government General Hospital and College Kakinada,biryani,3398,Food Park Family Restaurant,burger,16,9,22
b5386d45-da16-4662-99fa-ed82277711e5,SVS Medical College & Hospital,biryani,5720,Domino's Pizza,pizza,19,10,21
122450cb-93b7-4395-93c0-0e777cb4be84,Tripura Medical College and Hospital,biryani,5844,Hippies Point,pizza,10,9,19
c0v87l3mud18qpl380p0,PES University,biryani,8119,Meghana Foods,burger,21,6,20
a26fce1a-01f4-4650-b686-ccc5556d8f3f,Biju Patnaik University of Technology Rourkela,biryani,8845,One Bite,pizza,32,20,48
22fb6039-8e74-45fc-a7a5-9b58122bdaa5,National Institute of Fashion Technology (NIFT),burger,5314,McDonald's,waffle,18,8,6
931901ce-d6b2-4242-b108-a4f532a106f7,Xavier Institute of Management and Entrepreneurship (XIME Kochi),biryani,2844,Pizza Hut,pizza,16,9,8
2e2e0b8e-6de3-4565-93e4-6a8a64b2c468,IIITDM Kurnool,biryani,5731,Spicy Leaf Family Dabha,fried_rice,9,11,59
9706841c-3af5-47c5-83c1-54d0535c245e,Vijayanagara Institute of Medical Sciences(VIMS),biryani,4325,Lassi Shop,sundae,16,12,33
38affd9d-5b2a-4bb1-8f39-351d8695f89c,BITS School of Management,burger,6990,Domino's Pizza,pizza,12,17,5
b20840ea-f62e-4165-afba-4edf1936eee4,Shri Govindram Seksaria Institute of Technology and Science (SGSITS),biryani,5896,Sagar Gaire,biryani,11,9,16
54ba2710-3021-401d-a926-acdf1f9e2689,AIIMS Bhubaneswar,biryani,5859,Burger King,other_dry_starters,14,9,14
b43ade37-d903-4863-ad1f-8b4bcec38a38,TKM Group Of College,burger,3199,Qahwa,pizza,11,11,12
b19b0029-0d99-47d4-a77a-7ba3fcbdb037,NICMAR University,biryani,3155,Burger King,burger,14,10,23
b00e2969-8719-4ff3-ab4c-960604c9c8e2,Tirunelveli Medical College & Super Speciality Hospital,biryani,3251,Juice Time Restaurant,other_dry_starters,12,5,12
a301a15d-9726-47a2-8b42-e1a0a31645dd,Kashibai MC Hospital,burger,10331,McDonald's,burger,15,9,12
9c29a571-c9a6-4abd-8c22-4798ed0fac8e,Kalpana Chawla Government Medical College & Hospital,burger,4529,Kshirdhara,burger,15,11,8
2e1e83b5-d4e8-4cd2-8853-ee258a967ab0,National Law Institute University,pizza,3179,Subway,burger,9,14,7
f6ad519b-8075-43d9-9dbe-3b498567e512,All India Institute Of Speech And Hearing Mysore,biryani,3672,The Cake Room,pizza,13,7,9
c828367e-0e99-4ab4-9eae-4590b82f3e2f,National Law University Jodhpur,pizza,16862,McDonald's,pizza,10,19,7
d1d4c1cf-00ee-4b9d-b328-4ce27453bf3b,Hi Tech Hospital & Medical College,biryani,9068,Jugaad Jn,biryani,13,13,24
6147c52b-a463-472a-8392-ec86acb3053e,NIT Rourkela,pizza,6020,Domino's Pizza,other_dry_starters,13,13,14
63ed0267-d2a5-491c-96e1-2f084c586d52,BS Abdur Rahman Crescent Institute Of Science And Technology,biryani,4487,KFC,biryani,11,7,12
3307d2f9-ae44-4a2a-aded-fbaab46d6586,Swami Vivekanand Subharti University,pizza,6227,Domino's Pizza,pizza,10,9,9
7df3589d-8551-4f97-8400-adcb6fe13efc,Amala Institute of Medical Sciences Thrissur,burger,4767,Hotel Akshaya - Punkunnam,burger,13,5,8
4f282a58-39bd-4c54-9b0a-9a5f886ca285,IIIT Design & Manufacturing,biryani,7194,Ambrocia's,other_dry_starters,9,21,18
65f9186e-02e4-4e45-a730-e1f6f8dbc010,Balaji Institute of Medical Science College,biryani,7421,Burger King,burger,12,8,13
f47825c5-65a0-4005-8fc6-0d9d5da8b340,Pandit Dindayal Upadhyay Medical College,tea,7582,Tea Street,pizza,14,10,5
54dfb62e-43b7-4db2-8c40-d2ecb21a7fce,JSS Academy of Technical Education,pizza,3135,Sandwich King,burger,10,29,26
f6e0b458-3823-4f5d-91b1-5887a774c87d,SN Medical College & Hospital I,pizza,5043,La Pino'z Pizza,pizza,16,13,7
0b5fc530-6d79-4aba-ba44-8a63f3529c40,Indian Veterinary Research Institute (IVRI),burger,5769,Burger King,burger,12,12,10
772a7a54-663d-4f13-8910-630d0a1135cc,IIM Nagpur,biryani,6999,The Lalamama Brewing Company,burger,9,9,10
68852b76-31cf-4f32-ab84-ce165e9514ae,NIT Andhra Pradesh,biryani,4200,Maya Bazaar,,11,5,49
43900727-25d7-4403-a50c-809c8ec6f688,Mandya Institute of Medical Sciences (MIMS),biryani,2789,Ravi Donne Biriyani,pizza,10,24,51
65c7e8ef-04cd-4803-bdb9-7d07fe6120e5,LNCT University,biryani,6804,Vrindavan Dhaba's Timbuktoo,curry,14,8,9
0ab7efb3-6e66-4b03-908c-ed7c682ec93a,Malla Reddy Vishwavidyapeeth,biryani,13748,Pizza Hut,biryani,8,11,12
43378cbe-4f67-4c1c-b27f-2a2ef3b8c73c,IIIT Bhubaneswar,biryani,3709,Priya Restaurant,pizza,16,10,38
c4fbcbe7-1c27-4c46-9497-58b9d01d80b8,Goa Dental College and Hospital,biryani,4728,The Tiffin Factory,pizza,14,9,11
6f4f33ae-ae48-40ea-95c8-9a46822bb40c,North Eastern Hill University,biryani,3628,KFC,,11,13,11
d3110705-1719-464c-afd3-6ae10fed94a1,People's College of Medical Sciences & Research Centre(PCMS),burger,5055,Tilakrams Sweets Bakery Restaurant,pizza,15,8,7
72dd8cf5-89d0-4053-af9e-0f3ddbb4beea,Sardar Patel Post Graduate Institute of Dental & Medical Sciences,pizza,9614,Rominus Pizza And Burger,pizza,10,10,10
a96e771d-c866-40e4-89f4-67f17f876bd5,BITS Pilani Mesra,pizza,5996,Domino's Pizza,burger,9,22,17
9e491011-2017-4dce-8eb6-fa057fcc5419,KR Mangalam University,pizza,7816,Caribbean Pizza,,8,63,9
abfa6a3a-a24f-4b99-b28c-1d7890a8109a,Maharashtra Institute of Medical Sciences & Research,biryani,2737,One And Only Food Mall,garlic_bread,15,7,9
ea30d4ca-3351-4fdb-8892-a5cf474a136b,IILM University Greater Noida,burger,3921,Burger King,burger,10,11,10
c8209c73-de40-4e1f-bcdf-a05992588f88,RCOEM & Ramdeobaba University(RBU),biryani,5287,Delhi Chaap Corner,burger,6,10,19
73bf56f6-c865-42b5-85c3-1daba663f3f4,Sir CR Reddy College of Engineering,biryani,2539,Mannat Dhaba & Restaurant,pizza,7,4,268
25bfa531-dd1a-4f67-9573-1035e26d9fd6,Andhra University College of Engineering (AUCE),biryani,8190,Eaters Stop,biryani,13,6,41
6cfdbdc9-5d33-4f73-a4c2-5468dedad4d8,Maharajah's Institute Of Medical Sciences,biryani,6134,Sunny Family Restaurant,pizza,11,6,19
d85d8715-5de4-4961-aaf8-2ec8446a6b6e,Punjab Institute of Medical Sciences,burger,5460,Burger King,burger,15,11,5
9cdd015a-a8e0-41e4-aaa8-8b6806802e35,Vinayaka Mission University,biryani,4598,A2B - Adyar Ananda Bhavan,parotta,11,4,13
c0e3vf09tt4h2ptrvpb0,R V College of Engineering R V University,biryani,5890,McDonald's,burger,14,6,16
2c26e4df-1d92-48a4-ad9e-6c249374c32d,Assam Agricultural University 1,biryani,5067,Fusion Asiana,pizza,10,11,45
009f7a1b-fc6b-4e06-8e73-a212bc47fac9,South Asian University,burger,4400,Burger King,burger,10,15,6
b0ae54f6-b984-444d-95ed-0144b60b27da,Gauhati Medical College and Hospital(GMCH) II,biryani,8505,Domino's Pizza,curry,16,8,11
c0e3lsgmlbnfmjbvgre0,Hiranandani Knowledge Park,roll,17919,Gopala's Veg Kitchen,burger,13,7,7
60bc33c5-df5e-402f-a3c8-34920230cd58,The Maharaja Sayajirao University(MSU) - 2,pizza,5957,Burger King,pizza,12,20,5
bui62g6pej7fsal2q0qg,Indira Gandhi Delhi Technical University for Women,pizza,9807,Domino's Pizza,pizza,11,22,13
924653cf-be0f-47a6-aba7-8fabbd2dbe78,New Horizon College Of Engineering,biryani,4054,Meghana Foods,biryani,7,15,30
c0e3jm0mlbnfmjbvgpd0,G Narayanamma Institute Of Technology And Science(GNITS),biryani,4174,Mehfil,biryani,6,24,161
1483d7a5-245a-4f17-9ff9-ea215a35ae76,Trichy SRM Medical College Hospital & Research Centre,biryani,7488,Anjappar Chettinad A/C Restaurant,other_dry_starters,11,3,21
cfeab5f3-a891-4a72-a0df-f6cb7055f841,SDM Medical College Dharwad,biryani,2866,KFC,pizza,20,10,19
1f91d7e2-e3ad-47b5-ad5b-434861edfbe3,Mohanlal Sukhadia University,pizza,3348,Rominus Pizza And Burger,pizza,11,17,5
a23953a4-4e8c-4367-be61-ef75c3760938,Government Mohan Kumaramangalam Medical College Hospital,biryani,5113,Barbequeen Restaurant,burger,16,6,14
941953f3-44b2-464b-a376-7d9721cf918a,Chhattisgarh Institute of Medical Sciences,biryani,2230,Burger King,burger,16,7,26
1f191043-ce5c-4cc0-8135-dc03c546a41c,LLRM Medical College & Hospital,pizza,8749,Feast mood,pizza,8,13,6
90431aa4-27da-4e73-b718-c5ea2bfdd97d,Apollo Institute Of Hospital Management and Allied Sciences,biryani,11648,A2B - Adyar Ananda Bhavan,other_dry_starters,19,4,14
db96fe19-d664-43d6-8571-e95d93909a1d,Amity University Mohali,pizza,4317,McDonald's,pizza,11,14,6
85cd87d0-fe8b-4d61-8f2c-6ecb176987bf,VIT AP University,pizza,6387,Pizza Hut,,5,34,19
03e459ae-1881-4180-b6f8-2b4b33e75b1b,Dr Panjabrao Alias Bhausaheb Deshmukh Memorial Medical College PDMMC,biryani,3495,Hotel Vandu International,pizza,13,7,10
529f8fdf-a6b5-4bf6-b19f-3fff76f9d4a2,Dr. M. K. Shah Medical College & Research Center,burger,7093,Burger King,burger,15,11,4
f613106d-aaaa-492e-8740-7b84a37f3f41,Institute Of Chemical Technology(ICT),pizza,24415,"Dabba Garam (Homestyle,Combo, Thali & More)",pizza,12,12,10
db294169-20a4-470d-acde-c997acaacca6,BITS Pilani Patna,pizza,3110,Burger King,biryani,11,13,11
dff2a430-c824-4209-b9a6-7839a1b96822,Odisha University of Agriculture and Technology(OUAT),biryani,2132,Biriyani box,burger,11,13,19
3d8deb7e-a249-4160-a58b-9df37a4629f7,Motilal Nehru National Institute of Technology Allahabad,pizza,5226,Rominus Pizza And Burger,pizza,12,36,8
eed92486-d710-4cab-b3c8-09963e32b0ce,Nitte Meenakshi Institute of Technology(NITTE),biryani,4602,Nandhana Palace,other_dry_starters,8,7,39
5a17df66-7bd2-4077-a3b3-774459e0a26f,DAIICT University,burger,4103,McDonald's,burger,8,12,5
f2eee220-8786-4510-9ea9-4cdf4039f4fe,MJN Medical College,biryani,2773,Shree Kunj Restaurant,pizza,13,6,23
c0df0jo9tt4h2ptruvng,Madha Medical College & Hospital,biryani,8039,KFC,other_dry_starters,25,5,10
7353cbe6-d94a-4ead-bdb9-17842ab4c8f8,Veermata Jijabai Technological Institute (VJTI),pizza,8067,La Pino'z Pizza,pizza,23,25,16
23de866f-d866-4f40-a8cd-5ca167445598,Rajasthan Technical University,pizza,2798,Anand Shekhawati Dhaba (Transport Nagar),burger,12,34,6
9f3d1312-511a-4cb1-bb27-eb36cf2d8281,DG Ruparel College of Arts Science and Commerce,vada,9400,Arya Bhavan,burger,21,7,6
f45ad234-95e0-4d09-b977-e48f27a1a68d,IIM Ahmedabad Old Campus,burger,6587,KFC,ice_cream,18,8,8
c6d5f43f-7489-48a5-be73-d00461d979c6,Shri Dharmasthala Manjunatheshwara Institute for Management Development,biryani,2735,Lemon three,other_dry_starters,21,6,12
c0cpqn09tt4h2ptrubpg,IIM Lucknow(Noida Campus),biryani,4513,Domino's Pizza,burger,15,6,8
e5664afd-e1cc-4ff0-8554-4faac11a3157,NKP Salve Institute of Medical Sciences,pizza,7937,Haldiram's Restaurant,pizza,14,8,6
